name,rating,reviews,address,website,type,lat,lng
Dentistry by Dr Chuan Hsiung & Associates,4.7,69,"5700 Mavis Rd Suite 8, Mississauga, ON L5V 2N6, Canada",https://dentistsmississauga.ca/,"dentist, health, point_of_interest, establishment",43.60711129999999,-79.69057719999999
Pulec Dentistry,5,2,"2 Jane St, York, ON M6S 3Y2, Canada",,"dentist, health, point_of_interest, establishment",43.6495042,-79.4848633
Dr. Young Nam Kim Orthodontist,3.9,20,"46 Queen St S, Mississauga, ON L5M 1K4, Canada",https://www.drkimortho.ca/,"dentist, point_of_interest, health, establishment",43.5859162,-79.7197618
The Tooth Corner,4.1,94,"2131 Lawrence Ave E #5, Scarborough, ON M1R 5G4, Canada",http://toothcorner.com/scarborough-dentist/,"dentist, health, point_of_interest, establishment",43.74606,-79.28902
Yonge And Finch Dental Office,4.6,9,"28 Finch Ave W, North York, ON M2M 4M7, Canada",https://www.yongeandfinchdental.ca/,"dentist, doctor, health, point_of_interest, establishment",43.7794075,-79.41808929999999
Eltek Dental,4.7,48,"10737 Yonge St, Richmond Hill, ON L4C 9M9, Canada",http://www.eltekdental.com/,"dentist, doctor, health, point_of_interest, establishment",43.8904337,-79.43995509999999
Thornhill Woods Family Dentistry,4.5,19,"8700 Bathurst St #4, Thornhill, ON L4J 9J8, Canada",http://www.thornhillwoodsdentistry.com/,"dentist, health, point_of_interest, establishment",43.8344361,-79.45644279999999
Royal Bank Plaza Dental Centre Downtown Toronto,4.8,44,"200 Bay Street Suite LR2, Toronto, ON M5J 2J3, Canada",http://www.royaldentalcentre.com/,"dentist, point_of_interest, health, establishment",43.6465177,-79.3800808
Bayview Hill Orthodontics,5,33,"31 Disera Dr Unit 240, Thornhill, ON L4J 0A7, Canada",,"dentist, health, point_of_interest, establishment",43.8116719,-79.4537395
Empress Walk Dental,4.4,50,"5095 Yonge St a1, North York, ON M2N 6Z4, Canada",http://www.empresswalkdental.com/,"dentist, health, point_of_interest, establishment",43.7693154,-79.4121457
Dr. Nancy Bishay & Associates Family Dental Office,4.4,47,"#206, 4190 Finch Ave E, Scarborough, ON M1S 4T7, Canada",http://drnancybishay.com/,"dentist, doctor, point_of_interest, health, establishment",43.8039076,-79.28713479999999
Avalon Dental Care,4.4,67,"910 Dundas St W, Whitby, ON L1P 1P7, Canada",http://avalondentalcare.ca/,"dentist, point_of_interest, health, establishment",43.8762797,-78.963021
Lee Dental Group (Dr. Raymond Lee & Associates),4.3,50,"1177 Central Pkwy W Unit 8, Mississauga, ON L5C 4P3, Canada",http://www.leedentalgroup.ca/,"dentist, point_of_interest, health, establishment",43.5678115,-79.66155590000001
Kipling Queensway Mall Dental,4.3,16,"1255 The Queensway, Etobicoke, ON M8Z 1S1, Canada",https://kqmalldental.net/about-us/,"dentist, point_of_interest, health, establishment",43.61970099999999,-79.524113
Dr. Stephanie Shum,,,"808 York Mills Rd #32, North York, ON M3B 1X8, Canada",http://yorkmillsfamilydentistry.ca/,"dentist, doctor, point_of_interest, health, establishment",43.75387180000001,-79.35902779999999
Dental Hygiene Independent Office in Mississauga,5,7,"3394 Southwick St, Mississauga, ON L5M 7L5, Canada",http://www.dentalhygieneforall.com/,"dentist, health, point_of_interest, establishment",43.54342870000001,-79.7218515
Uptown Dental @ Trafalgar,4.3,96,"330 Dundas St E Unit #1, Oakville, ON L6H 6Z9, Canada",https://uptowndentaltrafalgar.com/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL,"dentist, point_of_interest, doctor, health, establishment",43.4874817,-79.7184363
IKC Orthodontics,4.8,84,"2825 Bathurst St, North York, ON M6B 3A4, Canada",http://www.kivitychandlerorthotmd.com/,"dentist, health, point_of_interest, establishment",43.7136493,-79.4281659
West Vaughan Dental part of Sabharwal Dental Group,4.8,92,"5100 Rutherford Rd #28, Woodbridge, ON L4H 2J2, Canada",http://www.westvaughandental.ca/?utm_campaign=gmb,"dentist, point_of_interest, health, establishment",43.817568,-79.6026157
Dentistry on Bay,4.4,84,"881 Bay St., Toronto, ON M5S 3K6, Canada",https://dentistryonbay.com/,"dentist, health, point_of_interest, establishment",43.6627795,-79.3862037
Markham Medical Clinic,2.7,44,"200 Bullock Dr, Markham, ON L3P 1W2, Canada",http://www.markhammedicalclinic.com/,"doctor, point_of_interest, health, establishment",43.8743122,-79.28396339999999
OCC Eyecare,2.3,515,"1880 Sismet Rd, Mississauga, ON L4W 1W9, Canada",http://www.occeyecare.ca/,"doctor, hospital, health, point_of_interest, establishment",43.6487985,-79.6178161
Bay Dermatology Clinic,3.2,109,"790 Bay St. #536, Toronto, ON M5G 1N8, Canada",http://www.baydermatologycentre.com/,"doctor, health, point_of_interest, establishment",43.66049760000001,-79.3860586
